Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
AlMo0.5NbTa0.5TiZr,10.1007/s11837-014-1066-0,,,,2000,745,,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1007/s11837-014-1066-0,,,,1280,403,,
Al0.4Hf0.6NbTaTiZr,10.1007/s11837-014-1066-0,,,,1841,298,,
Al0.3NbTaTi1.4Zr1.3,10.1007/s11837-014-1066-0,,,,1965,236,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1007/s11837-014-1066-0,,,,1965,166,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1007/s11837-014-1066-0,,,,2035,220,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.actamat.2016.08.081,BCC,9.05,,1841,,,
AlMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+B2,7.4,,2000,,,
Al0.25NbTaTiV,10.1016/j.actamat.2016.08.081,BCC,8.8,,1330,,,
Al0.5NbTaTiV,10.1016/j.actamat.2016.08.081,BCC,8.46,,1012,,,
AlNbTaTiV,10.1016/j.actamat.2016.08.081,BCC,7.89,,991,,,
Al0.3NbTa0.8Ti1. 4V0.2Zr1.3,10.1016/j.actamat.2016.08.081,BCC,7.78,,1965,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.actamat.2016.08.081,BCC+BCC,7.42,,2035,,,
Al0.3NbTaTi1.4Zr1.3,10.1016/j.actamat.2016.08.081,BCC+BCC,8.18,,1965,,,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1016/j.actamat.2016.08.081,BCC,6.88,,1280,,,
AlNbTiV,10.1016/j.actamat.2016.08.081,BCC,5.59,,1020,,,
CrHfNbTiZr,10.1016/j.actamat.2016.08.081,BCC+Laves+Laves,8.24,,1375,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+BCC+Laves,8.23,,1595,,,
CrNbTiVZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.52,,1298,,,
