A,Ag,Al,Au,B,Be,C,Ca,Co,Cr,Cu,D,E,Fe,Ga,Gd,Hf,I,Ir,Li,M,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,Pd,Pt,Q,Re,Rh,S,Si,Sn,Sr,T,Ta,Ti,V,Vi,W,Y,Yb,Zn,Zr,comp_key
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17241379,0.0,0.0,0.0,0.0,0.0,0.25862069,0.0,0.17241379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17241379,0.0,0.0,0.05172414,0.0,0.0,0.0,0.0,0.0,0.17241379,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.17241379|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.25862069|0.00000000|0.17241379|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.17241379|0.00000000|0.00000000|0.05172414|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.17241379
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857143,0.0,0.0,0.0,0.0,0.0,0.23214286,0.0,0.17857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857143,0.0,0.0,0.05357143,0.0,0.0,0.0,0.0,0.0,0.17857143,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.17857143|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.23214286|0.00000000|0.17857143|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.17857143|0.00000000|0.00000000|0.05357143|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.17857143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.18181818,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.18181818,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18181818|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18181818|0.00000000|0.18181818|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18181818|0.00000000|0.00000000|0.09090909|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18181818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867925,0.0,0.0,0.0,0.0,0.0,0.18867925,0.0,0.18867925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867925,0.0,0.0,0.05660377,0.0,0.0,0.0,0.0,0.0,0.18867925,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18867925|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18867925|0.00000000|0.18867925|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18867925|0.00000000|0.00000000|0.05660377|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18867925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.2,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.20000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.14000000|0.00000000|0.20000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.20000000|0.00000000|0.00000000|0.06000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.20000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173913,0.0,0.0,0.0,0.0,0.0,0.06521739,0.0,0.2173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173913,0.0,0.0,0.06521739,0.0,0.0,0.0,0.0,0.0,0.2173913,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.21739130|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.06521739|0.00000000|0.21739130|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.21739130|0.00000000|0.00000000|0.06521739|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.21739130
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692308,0.0,0.0,0.15384615,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.15384615,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.15384615|0.15384615|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.15384615|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.07692308|0.00000000|0.00000000|0.15384615|0.00000000|0.00000000|0.15384615|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.15384615
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818,0.18181818,0.0,0.0,0.0,0.0,0.0,0.09090909,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0,0.18181818,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.18181818|0.18181818|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.09090909|0.00000000|0.18181818|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.09090909|0.00000000|0.00000000|0.18181818|0.00000000|0.00000000|0.09090909|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.20000000|0.20000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.20000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.20000000|0.00000000|0.00000000|0.20000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.0,0.04761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.23809524,0.0,0.0,0.0,0.0,0.0,0.0,0.23809524,0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.23809524|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.11904762|0.00000000|0.04761905|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.11904762|0.23809524|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.23809524
