IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
0.0,0.0,0.03803804,0.0,0.0,0.0,0.0,0.19219219,0.19219219,0.19219219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38538539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03903904,0.0,0.0,0.0,0.18618619,0.18618619,0.03903904,0.18618619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36336336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.04809619,0.0,0.0,0.0,0.19038076,0.19038076,0.09519038,0.19038076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19038076,0.0,0.0,0.0,0.0,0.0,0.0,0.09519038,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05688623,0.0,0.0,0.0,0.18862275,0.18862275,0.18862275,0.18862275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18862275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06206206,0.0,0.0,0.0,0.0,0.20820821,0.1041041,0.20820821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41741742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06706707,0.0,0.0,0.0,0.13313313,0.13313313,0.13313313,0.13313313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13313313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26726727,0.0,0.0,0.0,0.0
0.0,0.0,0.068,0.0,0.0,0.0,0.137,0.137,0.137,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0
0.0,0.0,0.069,0.0,0.0,0.0,0.137,0.137,0.137,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.0,0.0,0.0,0.0
0.0,0.0,0.06986028,0.0,0.0,0.0,0.23253493,0.23253493,0.23253493,0.23253493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.0,0.0,0.0,0.141,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0
