Nb,Ta,V,Cr,W,Zr,Density_g_cc_ROM,Solidus_C_TC,Liquidus_C_TC,solidus_err
0.0,0.82,0.0,0.05,0.1,0.03,16.192023717397557,2305.0273177915624,2928.2604076401512,444.9726822084376
0.0,0.8099999999999999,0.01,0.05,0.1,0.03,16.107657767584207,2300.7139598787803,2920.896405522339,449.2860401212197
0.0,0.7999999999999999,0.02,0.05,0.1,0.03,16.022892381969243,2295.582148634493,2913.2903767707153,454.417851365507
0.0,0.7899999999999999,0.03,0.05,0.1,0.03,15.937724717091168,2289.6440684863937,2905.4484405786848,460.35593151360627
0.0,0.7799999999999999,0.04,0.05,0.1,0.03,15.852151902435315,2282.9179518228116,2897.376220982134,467.0820481771884
0.0,0.7699999999999999,0.05,0.05,0.1,0.03,15.766171040111352,2275.427571665736,2889.0788983123853,474.5724283342638
0.0,0.76,0.06,0.05,0.1,0.03,15.679779204526124,2267.2017435163825,2880.5612536300737,482.7982564836175
0.0,0.75,0.07,0.05,0.1,0.03,15.59297344205186,2258.2738352719252,2871.8277073461063,491.72616472807476
0.0,0.74,0.08,0.05,0.1,0.03,15.50575077068954,2248.6812835477263,2862.8823530009654,501.31871645227375
0.0,0.73,0.09,0.05,0.1,0.03,15.418108179727426,2238.4651145588045,2853.7289869933697,511.53488544119546
0.0,0.72,0.1,0.05,0.1,0.03,15.33004262939466,2227.6694678468834,2844.3711349076775,522.3305321531166
0.0,0.71,0.11,0.05,0.1,0.03,15.2415510505098,2216.3413291691068,2834.812074975942,533.6586708308932
0.0,0.7,0.12,0.05,0.1,0.03,15.152630344124278,2204.529083162981,2825.054859123039,545.4709168370191
0.0,0.69,0.13,0.05,0.1,0.03,15.063277381160642,2192.2835048994725,2815.102331971329,557.7164951005275
0.0,0.6799999999999999,0.14,0.05,0.1,0.03,14.973489002045508,2179.6563286709415,2804.95714812459,570.3436713290585
0.0,0.6699999999999999,0.15,0.05,0.1,0.03,14.883262016337138,2166.7000240204143,2794.6217880058607,583.2999759795857
0.0,0.6599999999999999,0.16,0.05,0.1,0.03,14.792593202347547,2153.467337692745,2784.0985724864727,596.5326623072551
0.0,0.6499999999999999,0.17,0.05,0.1,0.03,14.70147930675904,2140.010846406704,2773.3896765151217,609.9891535932961
0.0,0.6399999999999999,0.18,0.05,0.1,0.03,14.609917044235097,2126.382524503114,2762.4971419319154,623.6174754968861
0.0,0.6299999999999999,0.19,0.05,0.1,0.03,14.517903097025485,2112.6333309819865,2751.4228896349064,637.3666690180135
0.0,0.6199999999999999,0.2,0.05,0.1,0.03,14.42543411456554,2098.8128206875845,2740.1687312517975,651.1871793124155
