Nb,Ta,V,Cr,W,Zr,Density_g_cc_ROM,Solidus_C_TC,Liquidus_C_TC,solidus_err,Alloy_ID,VEC Avg,Cauchy Pres Avg,Pugh_Ratio_PRIOR,YS_1300C_MPa,EQ 600C BCC_B2 MOL,EQ 600C C15_LAVES MOL,EQ 600C THCD (W/mK),EQ 1300C BCC_B2 MOL,EQ 1300C C15_LAVES MOL,EQ 1300C THCD (W/mK),EQ 600C BCC_SUM MOL,EQ 600C LAVES_SUM MOL,EQ 1300C BCC_SUM MOL,EQ 1300C LAVES_SUM MOL,EQ 25C THCD (W/mK)
0.0,0.82,0.0,0.05,0.1,0.03,16.192023717397557,2305.0273177915624,2928.2604076401512,444.9726822084376,TSD_000,5.119999999999999,87.14399999999998,2.687594180479803,313.25024690960464,0.9204689552282398,0.0795310447717604,58.15168765831335,0.9734629404734731,0.0265370595265269,57.41041380516562,0.9204689552282398,0.0795310447717604,0.9734629404734731,0.0265370595265269,57.54382061171588
0.0,0.8099999999999999,0.01,0.05,0.1,0.03,16.107657767584207,2300.7139598787803,2920.896405522339,449.2860401212197,TSD_001,5.119999999999999,87.46799999999998,2.705322249231141,334.8838127404788,0.9199865097481568,0.0800134902518431,57.72810479830967,0.9739961036782926,0.0260038963217076,57.16933224592012,0.9199865097481568,0.0800134902518431,0.9739961036782926,0.0260038963217076,56.92392044308892
0.0,0.7999999999999999,0.02,0.05,0.1,0.03,16.022892381969243,2295.582148634493,2913.290376770716,454.417851365507,TSD_002,5.119999999999999,87.79199999999997,2.7233035315758864,355.9496105987784,0.9194640038196344,0.0805359961803657,57.33279751325113,0.9745464520567338,0.0254535479432662,56.94758860093367,0.9194640038196344,0.0805359961803657,0.9745464520567338,0.0254535479432662,56.33974375387614
0.0,0.7899999999999999,0.03,0.05,0.1,0.03,15.937724717091168,2289.6440684863937,2905.4484405786848,460.3559315136063,TSD_003,5.12,88.11599999999996,2.741543491587766,376.4384408889511,0.91890613775899,0.0810938622410101,56.96362860902958,0.975113020826072,0.0248869791739282,56.74412244188603,0.91890613775899,0.0810938622410101,0.975113020826072,0.0248869791739282,55.78829574855401
0.0,0.7799999999999999,0.04,0.05,0.1,0.03,15.852151902435317,2282.917951822812,2897.376220982134,467.0820481771884,TSD_004,5.119999999999999,88.43999999999998,2.7600477516912054,396.3433033093156,0.9183190646988536,0.0816809353011464,56.61861508199583,0.9756949044443516,0.0243050955556487,56.55793665560761,0.9183190646988536,0.0816809353011464,0.9756949044443516,0.0243050955556487,55.26656888452177
0.0,0.7699999999999999,0.05,0.05,0.1,0.03,15.766171040111352,2275.427571665736,2889.0788983123853,474.5724283342638,TSD_005,5.119999999999999,88.76399999999997,2.778822098439508,415.6588706793208,0.9177099990705798,0.0822900009294202,56.29592139083205,,,,0.9177099990705798,0.0822900009294202,0.0,0.0,54.771427295922486
0.0,0.76,0.06,0.05,0.1,0.03,15.679779204526124,2267.2017435163825,2880.5612536300737,482.7982564836175,TSD_006,5.119999999999999,89.08799999999997,2.7978724885479176,434.3810994791376,0.9170866722595146,0.0829133277404854,55.99385181188515,,,,0.9170866722595146,0.0829133277404854,0.0,0.0,54.29941353862632
0.0,0.75,0.07,0.05,0.1,0.03,15.59297344205186,2258.273835271925,2871.8277073461063,491.7261647280748,TSD_007,5.119999999999999,89.41199999999998,2.8172050551947594,452.50693804581016,0.9164566901897728,0.0835433098102272,55.71084109181415,,,,0.9164566901897728,0.0835433098102272,0.0,0.0,53.84635912644309
0.0,0.74,0.08,0.05,0.1,0.03,15.50575077068954,2248.6812835477263,2862.8823530009654,501.31871645227375,TSD_008,5.12,89.73599999999998,2.836826114604677,470.0341056478193,0.9158268734755622,0.0841731265244378,55.44544298886835,,,,0.9158268734755622,0.0841731265244378,0.0,0.0,53.40645378979267
0.0,0.73,0.09,0.05,0.1,0.03,15.418108179727426,2238.4651145588045,2853.7289869933697,511.53488544119546,TSD_009,5.12,90.05999999999999,2.8567421729287976,486.9609237401376,0.91520267131308,0.0847973286869201,55.19631676652241,,,,0.91520267131308,0.0847973286869201,0.0,0.0,52.96958791570945
0.0,0.72,0.1,0.05,0.1,0.03,15.33004262939466,2227.6694678468834,2844.371134907677,522.3305321531166,TSD_010,5.12,90.384,2.876959933437576,503.2861861291953,0.9145877294734428,0.0854122705265573,54.96221217354066,,,,0.9145877294734428,0.0854122705265573,0.0,0.0,52.57493083178273
0.0,0.71,0.11,0.05,0.1,0.03,15.2415510505098,2216.3413291691068,2834.812074975942,533.6586708308932,TSD_011,5.119999999999999,90.70799999999998,2.8974863040430177,519.0090584901303,0.9139836617787566,0.0860163382212435,54.74195378723017,,,,0.9139836617787566,0.0860163382212435,0.0,0.0,52.21014873099086
0.0,0.7,0.12,0.05,0.1,0.03,15.152630344124278,2204.529083162981,2825.054859123039,545.4709168370191,TSD_012,5.119999999999999,91.03199999999995,2.918328405168018,534.1290002611964,0.9133900321850504,0.0866099678149498,54.53442571099568,,,,0.9133900321850504,0.0866099678149498,0.0,0.0,51.86157068576711
0.0,0.69,0.13,0.05,0.1,0.03,15.063277381160642,2192.2835048994725,2815.102331971329,557.7164951005275,TSD_013,5.12,91.356,2.939493577981651,548.6457037635688,0.912804514062363,0.0871954859376371,54.33855747699768,0.9814822158568732,0.0185177841431265,55.52074921529945,0.912804514062363,0.0871954859376371,0.9814822158568732,0.0185177841431265,51.52819361587215
0.0,0.6799999999999999,0.14,0.05,0.1,0.03,14.973489002045508,2179.656328670941,2804.95714812459,570.3436713290585,TSD_014,5.119999999999999,91.68,2.9609893930204,562.5590467000376,0.9122231657977083,0.0877768342022913,54.15331167113264,0.9821697903301636,0.0178302096698363,55.463215897821,0.9122231657977083,0.0877768342022913,0.9821697903301636,0.0178302096698363,51.2090367569592
0.0,0.6699999999999999,0.15,0.05,0.1,0.03,14.883262016337138,2166.7000240204143,2794.6217880058607,583.2999759795857,TSD_015,5.119999999999999,92.00399999999998,2.982823659216627,575.8690551321333,0.9116407525788888,0.0883592474211112,53.9776733872595,0.9828621217378248,0.0171378782621751,55.41491114960956,0.9116407525788888,0.0883592474211112,0.9828621217378248,0.0171378782621751,50.90314596560221
0.0,0.6599999999999999,0.16,0.05,0.1,0.03,14.792593202347549,2153.467337692745,2784.0985724864727,596.5326623072551,TSD_016,5.119999999999999,92.32799999999996,3.005004433356877,588.5758747289473,0.9110510511405864,0.0889489488594133,53.8106412461341,0.9835576477047944,0.0164423522952057,55.37526472155377,0.9110510511405864,0.0889489488594133,0.9835576477047944,0.0164423522952057,50.60959510828007
0.0,0.6499999999999999,0.17,0.05,0.1,0.03,14.70147930675904,2140.010846406704,2773.3896765151217,609.9891535932961,TSD_017,5.119999999999999,92.652,3.027540029994092,600.6797485950174,0.9104470907169216,0.0895529092830785,53.65121945052498,0.9842545797851392,0.0157454202148606,55.34371617699687,0.9104470907169216,0.0895529092830785,0.9842545797851392,0.0157454202148606,50.32748583576866
0.0,0.6399999999999999,0.18,0.05,0.1,0.03,14.609917044235097,2126.382524503114,2762.4971419319154,623.6174754968861,TSD_018,5.119999999999999,92.97599999999998,3.050439031839352,612.1810003694494,0.9098213018763838,0.0901786981236162,53.49841019880759,0.9849508680148772,0.0150491319851226,55.3197106280098,0.9098213018763838,0.0901786981236162,0.9849508680148772,0.0150491319851226,50.05594653212633
